source,target
"'I'he","The"
"'l'he","The"
"claa","cha"
"clh","ch"
"comlb","comb"
"comlp","comp"
"conla","conn"
"conlb","comb"
"conlc","conc"
"conlf","conf"
"conlg","cong"
"conll","conn"
"conlm","comm"
"conln","conn"
"conlp","comp"
"conls","cons"
"conlt","cont"
"conlv","conv"
"filnd","find"
"foulld","found"
"foulnd","found"
"fourld","found"
"ghlt","ght"
"glh","gh"
"gtlt","ght"
"ioIl","ion"
"ioln","ion"
"luinat","minat"
"meilt","ment"
"melnt","ment"
"menlt","ment"
"mient","ment"
"mnagnet","magnet"
"mnenit","ment"
"mnent","ment"
"mnetric","metric"
"nmetric","metric"
"o:ften","often"
"otlher","other"
"qll","qu"
"qtl","qu"
"spller","spher"
"tlh","th"
"tlz","th"
"tnent","ment"
"tl","th"
"tz","th"
"vvh","wh"
"wv","w"
"11ad","had"
"11as","has"
"11ave","have"
"11aving","having"
"11is","his"
"1aid","laid"
"1ast","last"
"1ean","lean"
"1eft","left"
"1ess","less"
"1evel","level"
"1ever","lever"
"1ight","light"
"1ine","line"
"1ist","list"
"1ith","11th"
"1mmediately","immediately"
"1nternal","internal"
"1ong","long"
"1ung","lung"
"4tb","4th"
"6nds","ends"
"6nly","only"
"6tb","6th"
"7he","The"
"a nd","and"
"a,nd","and"
"a-kin","akin"
"a-lld","and"
"a-nd","and"
"a.nd","and"
"a11","all"
"a1nd","and"
"a1ways","always"
"abfence","absence"
"abollt","about"
"acc6unt","account"
"accompanv","accompany"
"accuracv","accuracy"
"accuratelv","accurately"
"adhefion","adhesion"
"adtion","action"
"aeconomy","oeconomy"
"affert","assert"
"afferting","asserting"
"afferts","asserts"
"afhore","ashore"
"afsume","assume"
"after.?vards","afterwards"
"agaillst","against"
"agencv","agency"
"ahd","and"
"aiid","and"
"aIl","all"
"aIld","and"
"aimost","almost"
"aImost","almost"
"aind","and"
"aInd","and"
"aIready","already"
"airv","airy"
"aIso","also"
"aIthough","although"
"aIways","always"
"al$o","also"
"al6ng","along"
"alad","and"
"alfo","also"
"alid","and"
"alld","and"
"alnd","and"
"alny","any"
"alloved","allowed"
"allthe","all the"
"almnost","almost"
"alre","are"
"alsvays","always"
"altllough","although"
"alvvays","always"
"alwavs","always"
"alzd","and"
"an d","and"
"analvsis","analysis"
"ancl","and"
"anct","and"
"andcl","and"
"andf","and f"
"andfor","and for"
"andI","and"
"andis","and is"
"andl","and"
"andt","and"
"andthe","and the"
"andy","and y"
"anly","any"
"anotber","another"
"Anotbher","Another"
"anothert","another"
"anotlaer","another"
"anotller","another"
"anv","any"
"anvthing","anything"
"appcar","appear"
"applicd","applied"
"apprehenfive","apprehensive"
"arcla","arch"
"arcli","arch"
"arcll","arch"
"are1st","are 1st"
"arl-d","and"
"arld","and"
"arnd","and"
"arterv","artery"
"arethe","are the"
"artificia1","artificial"
"as-the","as the"
"asll","ash"
"assafcetida","assafoetida"
"asthe","as the"
"asvay","away"
"at-the","at the"
"atad","and"
"atthe","at the"
"atld","and"
"atlother","another"
"atly","any"
"atnd","and"
"attradtion","attraction"
"aud","and"
"auffi","aussi"
"avcc","avec"
"avvay","away"
"axld","and"
"b0tli","both"
"b0tll","both"
"b1ack","black"
"back.?vards","backwards"
"balancc","balance"
"barelv","barely"
"bave","have"
"baving","having"
"bccause","because"
"bcen","been"
"bcfor","befor"
"bcfore","before"
"bcginning","beginning"
"bcing","being"
"eachl","each"
"eacl","each"
"beautifu1","beautiful"
"beell","been"
"beeln","been"
"beerl","been"
"beetl","been"
"beg1n","begin"
"beinig","being"
"eitller","either"
"belosv","below"
"ethe","be the"
"betore","before"
"betsveen","between"
"betsvist","betwist"
"betvveen","between"
"betwecn","between"
"betweeln","between"
"bllt","but"
"Bllt","But"
"blo6d","blood"
"bodv","body"
"botla","both"
"bothl","both"
"botli","both"
"botll","both"
"bottlc","bottle"
"breadtb","breadth"
"rery","very"
"'rhe","The"
"rhe","the"
"'rhis","This"
"rhis","this"
"brife","brise"
"brokcn","broken"
"brougllt","brought"
"TlE","THE"
"Tlhe","The"
"TlHE","THE"
"Tlhus","Thus"
"Btlt","But"
"bbtlt","but"
"Buit","But"
"buit","but"
"bushv","bushy"
"Butterflv","Butterfly"
"bv","by"
"bya","by a"
"byan","by an"
"canl","can"
"cach","each"
"caft","cast"
"calculatcd","calculated"
"candlc","candle"
"canllot","cannot"
"carned","earned"
"casily","easily"
"cbange","change"
"cbaracteristic","characteristic"
"cbemical","chemical"
"ccased","ceased"
"cceliac","coeliac"
"ccteris","ceteris"
"ceconomy","oeconomy"
"cedema","oedema"
"cedematous","oedematous"
"cesophageal","oesophageal"
"cesophagus","oesophagus"
"cffects","effects"
"chicfly","chiefly"
"clav","clay"
"clcan","clean"
"clearlv","clearly"
"cllarcoal","charcoal"
"cllbic","cubic"
"clle","elle"
"clles","elles"
"cllrysalis","chrysalis"
"clofet","closet"
"closelv","closely"
"clotll","cloth"
"clse","else"
"cnds","ends"
"colld","could"
"colums","columns"
"comlmon","common"
"comlnon","common"
"commion","common"
"committcd","committed"
"commorl","common"
"commnon","common"
"comn pass","compass"
"comne","come"
"comning","coming"
"comparativelv","comparatively"
"concems","concerns"
"conld","could"
"conling","coming"
"cons6quent","consequent"
"conscquence","consequence"
"considerablv","considerably"
"considercd","considered"
"continucd","continued"
"contrarv","contrary"
"contufion","contusion"
"copioufly","copiously"
"correcl","correct"
"cotlld","could"
"couect","collect"
"couild","could"
"coulcl","could"
"coulel","could"
"coulld","could"
"crofsed","crossed"
"crror","error"
"crrors","errors"
"curiouslv","curiously"
"cven","even"
"cvlinder","cylinder"
"cxample","example"
"cxcept","except"
"cxtravasated","extravasated"
"d6bris","debris"
"davs","days"
"Davv","Davy"
"dayligllt","daylight"
"dcscription","description"
"deatla","death"
"deatll","death"
"deducedfrom","deduced from"
"defcending","descending"
"defirous","desirous"
"denv","deny"
"deptll","depth"
"dialneter","diameter"
"diametcr","diameter"
"diarneter","diameter"
"diarrhcea","diarrhoea"
"diarrhceas","diarrhoeas"
"dicecious","dioecious"
"difcern","discern"
"diffcrcnt","different"
"differcnce","difference"
"differtation","dissertation"
"difficlllty","difficulty"
"difficultv","difficulty"
"diffolution","dissolution"
"difsolve","dissolve"
"diftemper","distemper"
"direcl","direct"
"directlv","directly"
"distincl","distinct"
"down.?vards","downwards"
"drawll","drawn" 
"dving","dying"
"dyspncea","dyspnoea"
"eacla","each"
"eacli","each"
"eacll","each"
"eafe","ease"
"eafier","easier"
"eafily","easily"
"eartb","earth"
"eartli","earth"
"eartll","earth"
"easilv","easily"
"effecl","effect"
"eightbs","eighths"
"eightli","eighth"
"eightv","eighty"
"eigllt","eight"
"eitber","either"
"eitlaer","either"
"elfewhere","elsewhere"
"embrvo","embryo"
"emplov","employ"
"emplovcd","employed"
"emploved","employed"
"enfued","ensued"
"equa1","equal"
"evcr","ever"
"everv","every"
"evi1","evil"
"exactlv","exactly"
"exclusivelv","exclusively"
"explaincd","explained"
"extrancous","extraneous"
"f rom","from"
"f-or","for"
"f-rom","from"
"faid","said"
"fandy","sandy"
"fartller","farther"
"fatisfied","satisfied"
"faturated","saturated"
"fbr","for"
"fcales","scales"
"fcape","scape"
"fcetal","foetal"
"fcetid","foetid"
"fcetus","foetus"
"fcetuses","foetuses"
"fctal","foetal"
"fealed","sealed"
"feason","season"
"Februarv","February"
"feconde","seconde"
"feem","seem"
"feen","seen"
"feldom","seldom"
"felf","self"
"felves","selves"
"ferene","serene"
"fesv","few"
"fet","set"
"fets","sets"
"feveral","several"
"fevere","severe"
"fevv","few"
"fevvt","few"
"fhan","than"
"fhe","the"
"fhew","shew"
"freet","feet"
"fi'om","from"
"fi-om","from"
"fi-omn","from"
"fibrillke","fibrillae"
"fidereal","sidereal"
"fiecle","siecle"
"fiecles","siecles"
"fieve","sieve"
"fiont","front"
"fiftll","fifth"
"fiftv","fifty"
"fighted","sighted"
"filence","silence"
"filken","silken"
"filver","silver"
"fince","since"
"fingle","single"
"finisbed","finished"
"fiom","from"
"fiomn","from"
"fiomr","from"
"fion","from"
"fior","for"
"fir-st","first"
"firom","from"
"firomn","from"
"firomr","from"
"fiurther","further"
"fixcd","fixed"
"fixteen","sixteen"
"fixth","sixth"
"fl-le","the"
"fliding","sliding"
"flightly","slightly"
"flippery","slippery"
"flle","the"
"flowest","slowest"
"flowly","slowly"
"flrst","first"
"foak","soak"
"foap","soap"
"foctus","foetus"
"foever","soever"
"fola","sola"
"folar","solar"
"fome","some"
"fomewhat","somewhat"
"forcc","force"
"forefee","foresee"
"forefight","foresight"
"foresce","foresee"
"forin","form"
"formi","form"
"forml","form"
"formled","formed"
"formling","forming"
"formls","forms"
"formulee","formulae"
"formulhe","formulae"
"formulke","formulae"
"formuloe","formulae"
"formulm","formulae"
"formulme","formulae"
"formulre","formulae"
"formulse","formulae"
"formulue","formulae"
"formulve","formulae"
"formulwe","formulae"
"forn","form"
"forned","formed"
"forning","forming"
"forns","forms"
"formcr","former"
"fortb","forth"
"fortie","sortie"
"fortir","sortir"
"fortll","forth"
"foundcd","founded"
"founld","found"
"fourtb","fourth"
"fourtll","fourth"
"fouth","south"
"fowing","sowing"
"fpaces","spaces"
"fr om","from"
"fr-om","from"
"frce","force"
"frem","from"
"friom","from"
"fro m","from"
"froim","from"
"froIm","from"
"froin","from"
"froIn","from"
"froll","from"
"frolm","from"
"froln","from"
"fromi","from"
"froml","from"
"fromm","from"
"fromn","from"
"fromr","from"
"fromrn","from"
"fromt","from"
"fromtn","from"
"fromu","from"
"fron","from"
"froni","from"
"fronl","from"
"fronm","from"
"frortl","from"
"fronz","from"
"fror","from"
"frori","from"
"frorm","from"
"frorn","from"
"frornm","from"
"frorr","from"
"frotm","from"
"frotn","from"
"frotnm","from"
"frotr","from"
"frotu","from"
"frst","first"
"ftaid","staid"
"fteely","steely"
"ftom","from"
"ftrait","straight"
"ftrom","from"
"fucculent","succulent"
"fuch","such"
"fuddenly","suddenly"
"fuirther","further"
"fujet","sujet"
"fummer","summer"
"fupply","supply"
"fure","sure"
"furest","surest"
"furface","surface"
"furioufly","furiously"
"furtber","further"
"furtller","further"
"g1st","31st"
"g6neral","general"
"g6nerale","generale"
"gelleral","general"
"gencral","general"
"genera1","general"
"giverl","given"
"gloomv","gloomy"
"gocs","goes"
"grav1ty","gravity"
"greatlv","greatly"
"grev","grey"
"grevish","greyish"
"h-as","has"
"h-ava","have"
"h-ave","have"
"h6wever","however"
"ha-ve","have"
"hacl","had"
"happicst","happiest"
"hasre","have"
"hasring","having"
"harre","have"
"harring","having"
"havc","have"
"hav e","have"
"haye","have"
"haying","having"
"hazv","hazy"
"healthv","healthy"
"heavv","heavy"
"Heavv","Heavy"
"heen","been"
"heigllt","height"
"HI-ence","Hence"
"hiad","had"
"hias","has"
"hIas","has"
"hiave","have"
"hIave","have"
"hiaving","having"
"hIaving","having"
"hlad","had"
"hlas","has"
"hlave","have"
"hlaving","having"
"hlence","hence"
"Hlence","Hence"
"hlis","his"
"htis","this"
"httle","little"
"hvdrogen","hydrogen"
"hypothefis","hypothesis"
"i oth","10th"
"i'n","in"
"Ishall","I shall"
"I-Ie","he"
"I-Iow","How"
"I-low","How"
"i;n","in"
"i:n","in"
"idca","idea"
"Iess","less"
"ifor","for"
"ihad","had"
"ihas","has"
"ihave","have"
"Ihave","I have"
"ihaving","having"
"ihto","into"
"iin","in"
"Ileat","Heat"
"illtO","into"
"illto","into"
"iln","in"
"ilto","into"
"imay","may"
"immenfity","immensity"
"imore","more"
"imost","most"
"impetuofity","impetuosity"
"imust","must"
"in-the","in the"
"in:the","in the"
"inanner","manner"
"Inanner","manner"
"inay","may"
"inchcs","inches"
"inconfiderable","inconsiderable"
"indcpendent","independent"
"indecd","indeed"
"infcription","inscription"
"inferted","inserted"
"infomuch","insomuch"
"inftr","instr"
"ini","in"
"inl","in"
"inore","more"
"inost","most"
"inot","not"
"inquifition","inquisition"
"inr","in"
"int0","into"
"integra1","integral"
"inthe","in the"
"inthis","in this"
"intothe","into the"
"intrinfical","intrinsical"
"inust","must"
"inwhich","in which"
"ioth","10th"
"irl","in"
"irn","in"
"irotl","iron"
"irto","into"
"irz","in"
"isthe","is the"
"ithe","the"
"Januarv","January"
"Julv","July"
"kiffing","kissing"
"knowll","known"
"knowni","known"
"l'he","the"
"l;he","the"
"l0th","10th"
"l1er","her"
"l1th","11th"
"l9th","19th"
"laad","had"
"laas","has"
"laave","have"
"laft","last"
"lamelke","lamellae"
"lamellke","lamellae"
"laminai","laminal"
"laminve","laminae"
"larvai","larval"
"laver","layer"
"lavers","layers"
"lbid","ibid"
"leaft","least"
"lefs","less"
"legai","legal"
"lengtll","length"
"lenigth","length"
"liad","had"
"lialf","half"
"liave","have"
"liaving","having"
"liear","hear"
"lieart","heart"
"lieat","heat"
"lieated","heated"
"lieight","height"
"lience","hence"
"liere","here"
"liind","kind"
"liistory","history"
"likewife","likewise"
"lilie","like"
"liold","hold"
"lionour","honour"
"liorses","horses"
"liour","hour"
"lirnit","limit"
"lirnits","limits"
"lith","11th"
"littie","little"
"littIe","little"
"livc","live"
"livlng","living"
"liydrogen","hydrogen"
"llad","had"
"llaked","naked"
"llalf","half"
"lland","hand"
"llarder","harder"
"llardly","hardly"
"llas","has"
"llatural","natural"
"llaturally","naturally"
"llature","nature"
"llave","have"
"llaving","having"
"lleavy","heavy"
"lle","he"
"lleight","height"
"llelp","help"
"llere","here"
"llever","never"
"llext","next"
"llght","light"
"llh","11h"
"lligh","high"
"lligher","higher"
"llight","night"
"llis","his"
"lliS","his"
"llistory","history"
"llke","like"
"llloon","Moon"
"lllore","More"
"llluch","Much"
"llo","no"
"llothing","nothing"
"llpper","upper"
"llth","11th"
"llttle","little"
"llumber","number"
"lmost","most"
"lnade","made"
"lnay","may"
"lnew","new"
"lncreased","increased"
"lne","me"
"lnen","men"
"lnformation","information"
"lnformatlon","information"
"lnhis","This"
